Rank,Beer,# of Ratings,Avg. Rating
66,Flora Plum Hill Farmstead Brewery Saison | 5.00%,386,4.6
67,King Sue Toppling Goliath Brewing Company New England IPA | 7.80%,3460,4.58
68,Double Barrel V.S.O.J. Revolution Brewing English Barleywine | 16.80%,45,4.73
69,Society & Solitude #4 Hill Farmstead Brewery New England IPA | 8.00%,1442,4.58
70,Lou Pepe - Framboise Brasserie Cantillon Fruit Lambic | 5.50%,1432,4.58
71,Abricot Du Fermier Side Project Brewing Saison | 8.00%,446,4.59
72,Cable Car The Lost Abbey Wild Ale | 7.00%,1155,4.58
73,Cable Car Kriek The Lost Abbey Wild Ale | 7.00%,191,4.61
74,Oude Geuze Vintage Brouwerij 3 Fonteinen Gueuze | 6.00%,878,4.58
75,I Let My Tape Rock J. Wakefield Brewing American Imperial Stout | 17.00%,99,4.64
76,Zombie Dust 3 Floyds Brewing Co. American Pale Ale | 6.50%,11347,4.57
77,Hunahpu's Imperial Stout Cigar City Brewing American Imperial Stout | 10.20%,4451,4.57
78,Green Tree House Brewing Company New England IPA | 7.60%,3415,4.57
79,Haze Tree House Brewing Company New England IPA | 8.20%,3175,4.57
80,Doppelganger Tree House Brewing Company New England IPA | 8.20%,2091,4.57
81,Fort Point Pale Ale - Double Dry Hopped Trillium Brewing Company American Pale Ale | 6.60%,1778,4.57
82,Swish Bissell Brothers Brewing Co. New England IPA | 8.00%,1710,4.57
83,The Broken Truck de Garde Brewing Wild Ale | 5.00%,387,4.58
84,Triple Shot Tree House Brewing Company American Imperial Stout | 9.70%,651,4.57
85,Sip Of Sunshine Lawson's Finest Liquids Imperial IPA | 8.00%,6104,4.56
86,Focal Banger The Alchemist New England IPA | 7.00%,4446,4.56
87,The Scribe Side Project Brewing Quadrupel (Quad) | 13.00%,82,4.64
88,West Ashley Sante Adairius Rustic Ales Saison | 7.30%,1207,4.56
89,4th Anniversary Other Half Brewing Company New England IPA | 10.00%,260,4.58
90,Ephraim Hill Farmstead Brewery New England IPA | 10.00%,1135,4.56
91,Coffee Cinnamon B-Bomb Fremont Brewing Company American Strong Ale | 13.00%,1124,4.56
92,Saison Du Fermier Side Project Brewing Saison | 7.00%,875,4.56
93,Bourbon Paradise Prairie Artisan Ales American Imperial Stout | 13.70%,834,4.56
94,The Rusty Nail Fremont Brewing Company Oatmeal Stout | 13.30%,796,4.56
95,Black Tuesday - Reserve The Bruery American Imperial Stout | 20.50%,345,4.57
96,The Peach de Garde Brewing Wild Ale | 7.30%,325,4.57
97,Supplication Russian River Brewing Company Wild Ale | 7.75%,6703,4.55
98,Curiosity Twenty Two Tree House Brewing Company American IPA | 7.00%,213,4.58
99,Keene Idea Alpine Beer Company Imperial IPA | 8.88%,541,4.56
100,Beatification Russian River Brewing Company Wild Ale | 6.00%,2899,4.55
101,Fourth Dementia - Bourbon Barrel-Aged Kuhnhenn Brewing Company Old Ale | 13.50%,2032,4.55
102,Citra Kern River Brewing Company Imperial IPA | 8.00%,1888,4.55
103,Fort Point Pale Ale - Galaxy Dry Hopped Trillium Brewing Company American Pale Ale | 6.60%,1790,4.55
104,Adios Ghost Monkish Brewing Co. New England IPA | 10.20%,58,4.66
105,Triple Sunshine Lawson's Finest Liquids Imperial IPA | 10.50%,1170,4.55
106,Leaner Casey Brewing & Blending Saison | 8.00%,245,4.57
107,Medianoche - Coconut WeldWerks Brewing Co. American Imperial Stout | 14.10%,239,4.57
108,Nillerzzzzz Forager Brewing Company American Imperial Stout | 14.00%,138,4.59
109,Sunday Brunch Kane Brewing Company Imperial Porter | 9.20%,851,4.55
110,Mexican Brunch Kane Brewing Company Imperial Porter | 9.20%,607,4.55
111,Black Note Stout Bell's Brewery - Eccentric Café & General Store American Imperial Stout | 11.20%,4951,4.54
