ABV (%),Beer ID,Beer Name,Beer Style,Brewery ID,Ounces,Brewery Name,City,State
8.5,531,Special Edition: Allies Win The War!,English Strong Ale,368,12.0,21st Amendment Brewery,San Francisco, CA
9.69999999999999,432,Hop Crisis,American Double / Imperial IPA,368,12.0,21st Amendment Brewery,San Francisco, CA
4.3999999999999995,353,Bitter American (2011),American Pale Ale (APA),368,12.0,21st Amendment Brewery,San Francisco, CA
7.9,321,Fireside Chat (2010),Winter Warmer,368,12.0,21st Amendment Brewery,San Francisco, CA
6.800000000000001,173,Back in Black,American Black Ale,368,12.0,21st Amendment Brewery,San Francisco, CA
8.3,11,Monk's Blood,Belgian Dark Ale,368,12.0,21st Amendment Brewery,San Francisco, CA
7.000000000000001,10,Brew Free! or Die IPA,American IPA,368,12.0,21st Amendment Brewery,San Francisco, CA
4.9,9,Hell or High Watermelon Wheat,Fruit / Vegetable Beer,368,12.0,21st Amendment Brewery,San Francisco, CA
7.000000000000001,2519,Bimini Twist,American IPA,67,12.0,3 Daughters Brewing,St Petersburg, FL
5.0,2518,Beach Blonde,American Blonde Ale,67,12.0,3 Daughters Brewing,St Petersburg, FL
5.8999999999999995,2517,Rod Bender Red,American Amber / Red Ale,67,12.0,3 Daughters Brewing,St Petersburg, FL
3.5000000000000004,2545,Passion Fruit Prussia,Berliner Weissbier,60,12.0,4 Hands Brewing Company,Saint Louis, MO
4.5,2544,Send Help,American Blonde Ale,60,12.0,4 Hands Brewing Company,Saint Louis, MO
5.5,2324,Cast Iron Oatmeal Brown,American Brown Ale,60,12.0,4 Hands Brewing Company,Saint Louis, MO
6.0,2288,Reprise Centennial Red,American Amber / Red Ale,60,12.0,4 Hands Brewing Company,Saint Louis, MO
5.5,2287,Alter Ego,American Black Ale,60,12.0,4 Hands Brewing Company,Saint Louis, MO
6.5,2286,Divided Sky,American IPA,60,12.0,4 Hands Brewing Company,Saint Louis, MO
6.5,2285,Resurrected,American IPA,60,12.0,4 Hands Brewing Company,Saint Louis, MO
5.0,1870,Contact High,American Pale Wheat Ale,60,12.0,4 Hands Brewing Company,Saint Louis, MO
6.5,2603,Galaxyfest,American IPA,27,16.0,450 North Brewing Company,Columbus, IN
5.0,2602,Citrafest,American IPA,27,16.0,450 North Brewing Company,Columbus, IN
9.0,2220,Barn Yeti,Belgian Strong Dark Ale,27,16.0,450 North Brewing Company,Columbus, IN
6.9,2219,Scarecrow,American IPA,27,16.0,450 North Brewing Company,Columbus, IN
9.0,2218,Ironman,English Strong Ale,27,16.0,450 North Brewing Company,Columbus, IN
4.6,2217,Honey Kolsch,Kölsch,27,16.0,450 North Brewing Company,Columbus, IN
5.2,2216,Copperhead Amber,Belgian Dark Ale,27,16.0,450 North Brewing Company,Columbus, IN
5.8999999999999995,972,Rude Parrot IPA,American IPA,481,16.0,7 Seas Brewing Company,Gig Harbor, WA
5.4,866,British Pale Ale (2010),English Pale Ale,481,16.0,7 Seas Brewing Company,Gig Harbor, WA
5.4,48,British Pale Ale,English Pale Ale,481,16.0,7 Seas Brewing Company,Gig Harbor, WA
8.4,47,Ballz Deep Double IPA,American Double / Imperial IPA,481,16.0,7 Seas Brewing Company,Gig Harbor, WA
3.8,1583,Wolfman's Berliner,Berliner Weissbier,373,12.0,7venth Sun,Dunedin, FL
5.5,1165,Colorado Native,American Amber / Red Lager,462,12.0,AC Golden Brewing Company,Golden, CO
5.5,431,Colorado Native (2011),American Amber / Red Lager,462,12.0,AC Golden Brewing Company,Golden, CO
6.5,516,Jockamo IPA,American IPA,533,12.0,Abita Brewing Company,Abita Springs, LA
4.2,515,Purple Haze,Fruit / Vegetable Beer,533,12.0,Abita Brewing Company,Abita Springs, LA
4.5,514,Abita Amber,American Amber / Red Lager,533,12.0,Abita Brewing Company,Abita Springs, LA
8.19999999999999,2540,Citra Ass Down,American IPA,62,16.0,Against The Grain Brewery,Louisville, KY
5.0,2539,The Brown Note,American Brown Ale,62,16.0,Against The Grain Brewery,Louisville, KY
8.0,2686,Citra Ass Down,American Double / Imperial IPA,1,16.0,Against the Grain Brewery,Louisville, KY
12.5,2685,London Balling,English Barleywine,1,16.0,Against the Grain Brewery,Louisville, KY
7.7,2684,35 K,Milk / Sweet Stout,1,16.0,Against the Grain Brewery,Louisville, KY
4.2,2683,A Beer,American Pale Ale (APA),1,16.0,Against the Grain Brewery,Louisville, KY
5.0,2682,Rules are Rules,German Pilsener,1,16.0,Against the Grain Brewery,Louisville, KY
6.6000000000000005,2681,Flesh Gourd'n,Pumpkin Ale,1,16.0,Against the Grain Brewery,Louisville, KY
4.0,2680,Sho'nuff,Belgian Pale Ale,1,16.0,Against the Grain Brewery,Louisville, KY
5.5,2679,Bloody Show,American Pilsner,1,16.0,Against the Grain Brewery,Louisville, KY
7.6,2678,Rico Sauvin,American Double / Imperial IPA,1,16.0,Against the Grain Brewery,Louisville, KY
5.1,2677,Coq de la Marche,Saison / Farmhouse Ale,1,16.0,Against the Grain Brewery,Louisville, KY
6.5,2676,Kamen Knuddeln,American Wild Ale,1,16.0,Against the Grain Brewery,Louisville, KY
6.0,2675,Pile of Face,American IPA,1,16.0,Against the Grain Brewery,Louisville, KY
5.0,2674,The Brown Note,English Brown Ale,1,16.0,Against the Grain Brewery,Louisville, KY
5.3,1594,Maylani's Coconut Stout,American Stout,367,16.0,Airways Brewing Company,Kent, WA
