City,State,% Age Over 19
Grants Pass,Oregon,0.7886038983089217
Great Falls,Montana,0.751854788134089
Greeley,Colorado,0.7145949252432096
Green Bay,Wisconsin,0.7468633342438313
Greensboro-High Point,North Carolina,0.7480843502198118
Greenville,North Carolina,0.739947377286271
Greenville-Anderson,South Carolina,0.7499325023863329
Gulfport-Biloxi,Mississippi,0.7456121048024071
"Hagerstown-Martinsburg, M",West Virginia,0.7600217284149322
Hammond,Louisiana,0.7252638351686548
Hanford-Corcoran,California,0.7045026491922082
Harrisburg-Carlisle,Pennsylvania,0.7594368653625242
Harrisonburg,Virginia,0.7375942396041937
Hartford-East Hartford-Middletown,Connecticut,0.7727001929192528
Hattiesburg,Mississippi,0.7343105420677383
Hickory-Lenoir-Morganton,North Carolina,0.7744248050845839
Hilton Head Island-Bluffton,South Carolina,0.7950349436218884
Hinesville,Georgia,0.6919252259754052
Homosassa Springs,Florida,0.8360734550837219
Hot Springs,Arkansas,0.7800857171334595
Houma-Thibodaux,Louisiana,0.7352093961554129
Houston-The Woodlands-Sugar Land,Texas,0.7121534941592301
"Huntington-Ashland, WV-K",Ohio,0.7652510930195383
Huntsville,Alabama,0.7582092105472542
Idaho Falls,Idaho,0.667225682798275
Indianapolis-Carmel-Anderson,Indiana,0.732608176399894
Iowa City,Iowa,0.7484244438300826
Ithaca,New York,0.7703543104923832
Jackson,Michigan,0.7641487035301469
Jackson,Mississippi,0.7391425778522552
Jackson,Tennessee,0.7397441357529633
Jacksonville,Florida,0.7550147588091833
Jacksonville,North Carolina,0.7105452076057431
Janesville-Beloit,Wisconsin,0.7486144992426133
Jefferson City,Missouri,0.7513834883813517
Johnson City,Tennessee,0.7893525193686679
Johnstown,Pennsylvania,0.7786285532697269
Jonesboro,Arkansas,0.7201322676789395
Joplin,Missouri,0.730997419757753
Kahului-Wailuku-Lahaina,Hawaii,0.7657546842364862
Kalamazoo-Portage,Michigan,0.7514936348177765
Kankakee,Illinois,0.7400774852018274
"Kansas City, M",Kansas,0.7397010216004619
Kennewick-Richland,Washington,0.6949914529360057
Killeen-Temple,Texas,0.709004918730881
"Kingsport-Bristol, T",Virginia,0.7913795393651936
Kingston,New York,0.8008100529650015
Knoxville,Tennessee,0.7704855094849856
Kokomo,Indiana,0.7493637004552678
"La Crosse-Onalaska, W",Minnesota,0.7610102649934273
Lafayette,Louisiana,0.732396100264601
